REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1962-01,Canada,2016A000011124,Units,300,units,0,v15819027,1,49109,,,,0
1962-01,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,1988,,,,0
1962-01,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,288,,,,0
1962-01,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,75,,,,0
1962-01,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1175,,,,0
1962-01,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,450,,,,0
1962-01,Quebec,2016A000224,Units,300,units,0,v15819033,7,13723,,,,0
1962-01,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,10823,,,,0
1962-01,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,2900,,,,0
1962-01,Ontario,2016A000235,Units,300,units,0,v15819036,10,22286,,,,0
1962-01,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,14910,,,,0
1962-01,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,7376,,,,0
1962-01,Manitoba,2016A000246,Units,300,units,0,v15819039,13,1781,,,,0
1962-01,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,1680,,,,0
1962-01,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,101,,,,0
1962-01,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,629,,,,0
1962-01,Alberta,2016A000248,Units,300,units,0,v15819043,17,4457,,,,0
1962-01,British Columbia,2016A000259,Units,300,units,0,v15819044,18,4245,,,,0
1962-01,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,2838,,,,0
1962-01,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,1407,,,,0
1962-04,Canada,2016A000011124,Units,300,units,0,v15819027,1,58915,,,,0
1962-04,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,2661,,,,0
1962-04,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,322,,,,0
1962-04,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,76,,,,0
1962-04,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1682,,,,0
1962-04,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,581,,,,0
1962-04,Quebec,2016A000224,Units,300,units,0,v15819033,7,15963,,,,0
1962-04,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,11658,,,,0
1962-04,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,4305,,,,0
1962-04,Ontario,2016A000235,Units,300,units,0,v15819036,10,26410,,,,0
1962-04,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,16194,,,,0
1962-04,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,10216,,,,0
1962-04,Manitoba,2016A000246,Units,300,units,0,v15819039,13,2172,,,,0
